Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,metal,rdkit_smi,pIC50,mw,logp
CHEMBL3919089,,,523.97,1.0,4.82,31,Nc1ncnc(N2CCC(c3nc(-c4ccc(F)c(C(F)(F)F)c4)cn3CCN3CCC3)CC2)c1Cl,IC50,'=',1900.0,nM,5.72,,,UO_0000065,10.92,0.22,0.9,7.52,0,CHEMBL4825323,Inhibition of human ERG by patch clamp assay,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL4823315,1,Scientific Literature,Bioorg Med Chem Lett,2021.0,,,0,Nc1ncnc(N2CCC(c3nc(-c4ccc(F)c(C(F)(F)F)c4)cn3CCN3CCC3)CC2)c1Cl,-3.278753600952829,523.9660000000003,4.823300000000004
CHEMBL1835066,,,342.4,0.0,1.16,15,Cc1cccc(Nc2nc(N[C@@H]3COCC[C@@H]3N)ncc2C(N)=O)c1,IC50,'=',7943.28,nM,5.1,,,UO_0000065,14.89,0.28,3.94,3.98,0,CHEMBL1838283,Inhibition of human ERG expressed in CHO-K1 cells after 2 hrs by Cy3b-Dofetilide-based fluorescence polarisation assay,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO-K1,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1833860,1,Scientific Literature,Bioorg Med Chem Lett,2011.0,CHEMBL3307512,,0,Cc1cccc(Nc2nc(N[C@@H]3COCC[C@@H]3N)ncc2C(N)=O)c1,-3.899999871665804,342.4030000000001,1.15562
CHEMBL1080790,,,329.27,0.0,3.84,12,CC(C)(C)CN(C(=O)c1cccc(Cl)c1Cl)[C@H]1CCNC1,IC50,'=',16800.0,nM,4.78,,,UO_0000065,14.5,0.31,0.93,14.76,0,CHEMBL1112305,Inhibition of human ERG,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1154203,1,Scientific Literature,Bioorg Med Chem Lett,2009.0,,,0,CC(C)(C)CN(C(=O)c1cccc(Cl)c1Cl)[C@H]1CCNC1,-4.225309281725863,329.27100000000013,3.843600000000003
CHEMBL1684585,,,422.55,0.0,3.3,4,Nc1nc(CC(=O)Nc2ccc(C[C@@H]3CC[C@H]([C@H](O)c4ccccc4)N3)cc2)cs1,IC50,'=',19000.0,nM,4.72,,,UO_0000065,11.17,0.21,1.42,4.71,0,CHEMBL3767769,Binding affinity to human ERG channel,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL3763146,1,Scientific Literature,J Med Chem,2016.0,,,0,Nc1nc(CC(=O)Nc2ccc(C[C@@H]3CC[C@H]([C@H](O)c4ccccc4)N3)cc2)cs1,-4.139879086401237,422.554,3.303200000000002
CHEMBL4780292,,,478.39,1.0,5.48,33,COc1ccc2ncc(F)c(CC[C@]3(O)CC[C@H](NCc4ccc(Cl)c(Cl)c4)CC3)c2n1,IC50,'=',3800.0,nM,5.42,,,UO_0000065,11.33,0.23,-0.06,8.06,0,CHEMBL4769893,Inhibition of human ERG,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL4765317,1,Scientific Literature,Eur J Med Chem,2020.0,,,0,COc1ccc2ncc(F)c(CC[C@]3(O)CC[C@H](NCc4ccc(Cl)c(Cl)c4)CC3)c2n1,-3.57978359661681,478.3950000000002,5.480400000000004
CHEMBL477201,,,393.49,0.0,3.57,nag13g,COc1ccc2c(=O)n(-c3ccc(OCCCN4CCCC4)cc3)c(C)nc2c1,IC50,'=',10000.0,nM,5.0,,,UO_0000065,12.71,0.24,1.43,8.84,0,CHEMBL1827362,Displacement of [3H]dofetilide from human recombinant ERG by Competitive binding assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1821550,1,Scientific Literature,Bioorg Med Chem Lett,2011.0,,,0,COc1ccc2c(=O)n(-c3ccc(OCCCN4CCCC4)cc3)c(C)nc2c1,-4.0,393.4870000000002,3.567420000000003
CHEMBL3323082,,,533.57,1.0,4.7,3A,Cn1cc([C@@]2(c3cc(C(=O)O)ccn3)N[C@@H](c3nc(-c4ccc(F)cc4)c[nH]3)Cc3c2[nH]c2ccccc32)cn1,IC50,'=',19560.0,nM,4.71,,,UO_0000065,8.82,0.16,0.01,3.78,0,CHEMBL3378637,Inhibition of human ERG by MK-499 displacement binding analysis,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL3352784,1,Scientific Literature,ACS Med Chem Lett,2014.0,,,0,Cn1cc([C@@]2(c3cc(C(=O)O)ccn3)N[C@@H](c3nc(-c4ccc(F)cc4)c[nH]3)Cc3c2[nH]c2ccccc32)cn1,-4.291368850451582,533.5670000000002,4.702700000000003
CHEMBL1080293,,,523.63,2.0,6.11,rac-24,Cc1ccc2c(-c3nnc(SCCCN4CC5CC5(c5ccc(C(F)(F)F)cc5)C4)n3C)cccc2n1,IC50,'=',158.49,nM,6.8,,,UO_0000065,12.99,0.25,0.69,14.52,0,CHEMBL1107671,Displacement of [3H]dofetidile from human ERG by scintillation proximity assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1153718,1,Scientific Literature,J Med Chem,2010.0,,,0,Cc1ccc2c(-c3nnc(SCCCN4CC5CC5(c5ccc(C(F)(F)F)cc5)C4)n3C)cccc2n1,-2.200001865406602,523.6280000000002,6.113220000000006
CHEMBL4217023,,,418.54,0.0,3.09,56,COc1ccc(C(=O)Nc2csc([C@]34CO[C@@H](C)C[C@H]3CSC(N)=N4)n2)cc1,IC50,'=',18400.0,nM,4.74,,,UO_0000065,11.31,0.23,1.65,4.79,0,CHEMBL4183120,Inhibition of human ERG expressed in CHOK1 cells for 5 mins at -80 mV holding potential by patch clamp method,B,BAO_0000219,cell-based format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL4177751,1,Scientific Literature,J Med Chem,2018.0,,,0,COc1ccc(C(=O)Nc2csc([C@]34CO[C@@H](C)C[C@H]3CSC(N)=N4)n2)cc1,-4.264817823009537,418.54400000000015,3.0858000000000008
CHEMBL3979322,,,566.64,1.0,3.81,13,CN1CCN(c2ccccc2CNC(=O)c2ccc(F)c(NC(=O)c3cnc4cc(-c5ccnn5C)ccn34)c2)CC1,IC50,'=',4000.0,nM,5.4,,,UO_0000065,9.53,0.18,1.59,5.41,0,CHEMBL3855039,Inhibition of human ERG,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL3853321,1,Scientific Literature,J Med Chem,2016.0,,,0,CN1CCN(c2ccccc2CNC(=O)c2ccc(F)c(NC(=O)c3cnc4cc(-c5ccnn5C)ccn34)c2)CC1,-3.6020599913279625,566.6410000000001,3.8080000000000034
CHEMBL2403861,,,463.03,1.0,5.28,18,CC(C)(O)c1nc2cc(Cl)ccc2n1[C@H]1CC[C@@H](NC[C@H]2Cc3ccc(C#N)cc3C2)CC1,IC50,'=',60.0,nM,7.22,,,UO_0000065,15.6,0.3,1.94,9.78,0,CHEMBL2406366,Inhibition of human ERG channel by patch clamp technique,B,BAO_0000019,assay format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL2401722,1,Scientific Literature,Bioorg Med Chem Lett,2013.0,,,0,CC(C)(O)c1nc2cc(Cl)ccc2n1[C@H]1CC[C@@H](NC[C@H]2Cc3ccc(C#N)cc3C2)CC1,-1.7781512503836436,463.0250000000003,5.277080000000004
CHEMBL3647849,,,359.82,0.0,2.6,3,N#C[C@H]1C[C@@H](O)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1,IC50,'=',26000.0,nM,4.58,,,UO_0000065,12.74,0.25,1.99,3.92,0,CHEMBL4033008,Displacement of [35S]-MK499 from human ERG expressed in HEK293 cell membranes,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL4028908,1,Scientific Literature,J Med Chem,2017.0,CHEMBL3307715,,0,N#C[C@H]1C[C@@H](O)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1,-4.414973347970818,359.81700000000006,2.604680000000001
CHEMBL1835039,,,389.5,0.0,4.67,42,C[C@H](Nc1ccc(C(N)=O)c2[nH]c3cc(-c4cnn(C)c4)ccc3c12)C(C)(C)C,IC50,'=',29000.0,nM,4.54,,,UO_0000065,11.65,0.21,-0.13,5.11,0,CHEMBL1840125,Inhibition of human hERG,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1833803,1,Scientific Literature,J Med Chem,2011.0,,,0,C[C@H](Nc1ccc(C(N)=O)c2[nH]c3cc(-c4cnn(C)c4)ccc3c12)C(C)(C)C,-4.4623979978989565,389.50300000000016,4.667000000000003
CHEMBL560063,,,511.38,2.0,5.73,4,O=C(NCc1ccc(Cl)cc1Cl)C1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cn3)c2)CC1,IC50,'=',3500.0,nM,5.46,,,UO_0000065,10.67,0.22,-0.27,10.88,0,CHEMBL1063193,Inhibition of human ERG activation expressed in CHO cells by rubidium efflux assay,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1152349,1,Scientific Literature,Bioorg Med Chem Lett,2009.0,CHEMBL3308072,,0,O=C(NCc1ccc(Cl)cc1Cl)C1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cn3)c2)CC1,-3.544068044350276,511.3750000000002,5.726300000000004
CHEMBL4648102,,,434.54,0.0,4.88,14p,COc1cc(-c2cncc(-c3ccc(OC4CCNCC4)cc3)c2C)cc(OC)c1OC,IC50,'=',8100.0,nM,5.09,,,UO_0000065,11.72,0.22,0.21,8.23,0,CHEMBL4626210,Inhibition of human ERG expressed in HEK293 cells after 5 mins by IonWorks barracuda patch clamp method,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL4622974,1,Scientific Literature,J Med Chem,2020.0,CHEMBL3307715,,0,COc1cc(-c2cncc(-c3ccc(OC4CCNCC4)cc3)c2C)cc(OC)c1OC,-3.90848501887865,434.5360000000003,4.880620000000004
CHEMBL3747356,,,444.54,0.0,2.95,24h,O=C(c1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1)N1C[C@@H]2[C@H](C1)[C@H]2c1nnco1,IC50,'=',55000.0,nM,4.26,,,UO_0000065,9.58,0.18,1.31,4.66,0,CHEMBL3750698,Inhibition of human ERG by IKr binding assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL3745665,1,Scientific Literature,Bioorg Med Chem Lett,2016.0,,,0,O=C(c1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1)N1C[C@@H]2[C@H](C1)[C@H]2c1nnco1,-4.740362689494244,444.5350000000002,2.951900000000001
CHEMBL379984,,,410.58,0.0,2.12,20o,CC(=O)Nc1cccc(N2CCN(CCCCNS(=O)(=O)CC(C)C)CC2)c1,IC50,'=',3000.0,nM,5.52,,,UO_0000065,,,,,0,CHEMBL853270,Inhibition of hERG potassium channel in HEK293 cells by patch clamp assay,T,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1147799,1,Scientific Literature,J Med Chem,2006.0,CHEMBL3307715,,0,CC(=O)Nc1cccc(N2CCN(CCCCNS(=O)(=O)CC(C)C)CC2)c1,-3.4771212547196626,410.5840000000001,2.1226
CHEMBL3605122,,,551.62,1.0,3.45,17,O=C1COc2ccc(CNC34CCC(CCc5c(F)cnc6ccc(OCCCCO)nc56)(CC3)OC4)nc2N1,IC50,'=',2400.0,nM,5.62,,,UO_0000065,10.19,0.19,2.17,4.4,0,CHEMBL3607541,Inhibition of human ERG assessed as reduction in MK499 competitive binding,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL3603744,1,Scientific Literature,Bioorg Med Chem Lett,2015.0,,,0,O=C1COc2ccc(CNC34CCC(CCc5c(F)cnc6ccc(OCCCCO)nc56)(CC3)OC4)nc2N1,-3.380211241711606,551.6190000000003,3.4503000000000013
CHEMBL4073562,,,392.51,0.0,3.12,27,Cc1cc(-c2cc3c(N[C@@H]4CC[C@](C)(N)C4(C)C)c(C(N)=O)cnn3c2)ccn1,IC50,'=',30000.0,nM,4.52,,,UO_0000065,11.52,0.21,1.4,4.06,0,CHEMBL4054845,Inhibition of human ERG by flux-based assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL4052645,1,Scientific Literature,Bioorg Med Chem Lett,2017.0,,,0,Cc1cc(-c2cc3c(N[C@@H]4CC[C@](C)(N)C4(C)C)c(C(N)=O)cnn3c2)ccn1,-4.477121254719663,392.50700000000006,3.1215200000000003
CHEMBL3358687,,,428.53,0.0,3.63,6n,O=C(NCCN1CCC(O)(Cc2ccc(F)cc2)CC1)Nc1ccnc2ccsc12,IC50,'=',5000.0,nM,5.3,,,UO_0000065,12.37,0.24,1.67,6.84,0,CHEMBL3382939,Inhibition of human ERG by patch clam assay,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL3351860,1,Scientific Literature,Bioorg Med Chem Lett,2014.0,,,0,O=C(NCCN1CCC(O)(Cc2ccc(F)cc2)CC1)Nc1ccnc2ccsc12,-3.6989700043360174,428.5330000000002,3.626500000000002
CHEMBL2180026,,,356.43,0.0,3.79,1k,COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(C)C(N)=N2)cc1,IC50,'=',19000.0,nM,4.72,,,UO_0000065,13.25,0.24,0.93,6.48,0,CHEMBL2186062,Inhibition of human ERG expressed in CHO cells by IonWorks assay,B,BAO_0000219,cell-based format,Homo sapiens,,,CHO,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL2177046,1,Scientific Literature,J Med Chem,2012.0,CHEMBL3308072,,0,COc1ccc(C2(c3cccc(-c4cccnc4)c3)N=C(C)C(N)=N2)cc1,-4.278753600952829,356.42900000000014,3.790000000000002
CHEMBL507130,,,539.64,2.0,5.82,1,O=c1[nH]ccc2nc(-c3ccc(CN4CCC(c5n[nH]c(-c6ccccn6)n5)CC4)cc3)c(-c3ccccc3)cc12,IC50,'=',5610.0,nM,5.25,,,UO_0000065,9.73,0.17,-0.57,5.08,0,CHEMBL939830,Inhibition of human ERG expressed in HEK cells by competitive radioligand binding assay,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1141029,1,Scientific Literature,Bioorg Med Chem Lett,2009.0,CHEMBL3307715,,0,O=c1[nH]ccc2nc(-c3ccc(CN4CCC(c5n[nH]c(-c6ccccn6)n5)CC4)cc3)c(-c3ccccc3)cc12,-3.7489628612561616,539.6430000000003,5.816800000000005
CHEMBL464804,,,425.49,0.0,4.39,10a,CC(=O)c1cccc(-c2cccc(-n3cc(C(=O)NC(C)C)c(=O)c4cccnc43)c2)c1,IC50,'=',6960.0,nM,5.16,,,UO_0000065,12.12,0.22,0.77,6.36,0,CHEMBL984535,Displacement of [35S]MK-499 from human ERG expressed in HEK293 cells,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1142499,1,Scientific Literature,Bioorg Med Chem Lett,2008.0,CHEMBL3307715,,0,CC(=O)c1cccc(-c2cccc(-n3cc(C(=O)NC(C)C)c(=O)c4cccnc43)c2)c1,-3.842609239610562,425.48800000000017,4.393500000000003
CHEMBL455071,,,695.88,1.0,4.84,24,CN(C)CCN1CCN(c2ncc3cc(-c4ccccc4)c(-c4ccc(CN5CCC(c6nnc(-c7cc[n+]([O-])cc7)[nH]6)CC5)cc4)nc3n2)CC1,IC50,'=',7900.0,nM,5.1,,,UO_0000065,7.33,0.13,0.26,4.25,0,CHEMBL947435,Inhibition of human ERG in embryonic kidney cells by radioligand-binding competition assay,B,BAO_0000219,cell-based format,Homo sapiens,,,kidney,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1157525,1,Scientific Literature,Bioorg Med Chem Lett,2008.0,,,0,CN(C)CCN1CCN(c2ncc3cc(-c4ccccc4)c(-c4ccc(CN5CCC(c6nnc(-c7cc[n+]([O-])cc7)[nH]6)CC5)cc4)nc3n2)CC1,-3.8976270912904414,695.876,4.840500000000005
CHEMBL256659,,,492.53,0.0,4.52,27,Cc1ncoc1-c1nnc(SCCCN2CCc3ccc4nc(C(F)(F)F)oc4c3CC2)n1C,IC50,'=',5011.87,nM,5.3,,,UO_0000065,10.76,0.21,0.78,6.16,0,CHEMBL931097,Inhibition of human ERG,B,BAO_0000357,single protein format,Homo sapiens,,,,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL1143157,1,Scientific Literature,Bioorg Med Chem Lett,2008.0,,,0,Cc1ncoc1-c1nnc(SCCCN2CCc3ccc4nc(C(F)(F)F)oc4c3CC2)n1C,-3.6999997975545824,492.5270000000002,4.521520000000004
CHEMBL2171033,,,512.46,1.0,4.4,8a,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,IC50,'=',10000.0,nM,5.0,,,UO_0000065,9.76,0.21,0.6,6.33,0,CHEMBL2173974,Inhibition of human ERG expressed in HEK293 cells by electrophysiological ion flux assay,B,BAO_0000219,cell-based format,Homo sapiens,,,HEK293,,,,,CHEMBL240,HERG,Homo sapiens,SINGLE PROTEIN,CHEMBL2169805,1,Scientific Literature,Bioorg Med Chem Lett,2012.0,CHEMBL3307715,,0,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,-4.0,512.4590000000004,4.399500000000004
