CIDX	RIDX	COMPOUND_NAME	COMPOUND_KEY
DOM_SIM_116	LEY_VERO	Methyclothiazide 	Methyclothiazide 
DOM_SIM_117	LEY_VERO	Tolvaptan 	Tolvaptan 
DOM_SIM_118	LEY_VERO	Chloroprocaine hydrochloride 	Chloroprocaine hydrochloride 
DOM_SIM_119	LEY_VERO	Pyridoxamine	Pyridoxamine
DOM_SIM_120	LEY_VERO	Lerisetron 	Lerisetron 
DOM_SIM_121	LEY_VERO	Tolperisone hydrochloride 	Tolperisone hydrochloride 
DOM_SIM_122	LEY_VERO	3-Phenoxypyridine	3-Phenoxypyridine
DOM_SIM_123	LEY_VERO	Pelitinib 	Pelitinib 
DOM_SIM_124	LEY_VERO	Baricitinib 	Baricitinib 
DOM_SIM_125	LEY_VERO	Etravirine 	Etravirine 
DOM_SIM_126	LEY_VERO	GW-842166X	GW-842166X
DOM_SIM_127	LEY_VERO	Salsalate 	Salsalate 
DOM_SIM_128	LEY_VERO	Coluracetam 	Coluracetam 
DOM_SIM_129	LEY_VERO	MB05032	MB05032
DOM_SIM_130	LEY_VERO	Isofloxythepin	Isofloxythepin
DOM_SIM_131	LEY_VERO	(-)-2,3-Pinanediol	(-)-2,3-Pinanediol
DOM_SIM_132	LEY_VERO	AT7519	AT7519
DOM_SIM_133	LEY_VERO	Tretinoin 	Tretinoin 
DOM_SIM_134	LEY_VERO	Omecamtiv mecarbil 	Omecamtiv mecarbil 
DOM_SIM_135	LEY_VERO	Sotrastaurin 	Sotrastaurin 
DOM_SIM_136	LEY_VERO	Sophocarpine	Sophocarpine
DOM_SIM_137	LEY_VERO	Artesunate 	Artesunate 
DOM_SIM_138	LEY_VERO	N-Acetylcarnosine	N-Acetylcarnosine
DOM_SIM_139	LEY_VERO	Talinolol 	Talinolol 
DOM_SIM_140	LEY_VERO	Methiopril	Methiopril
DOM_SIM_141	LEY_VERO	Uridine triacetate 	Uridine triacetate 
DOM_SIM_142	LEY_VERO	Ezetimibe 	Ezetimibe 
DOM_SIM_143	LEY_VERO	Clindamycin phosphate 	Clindamycin phosphate 
DOM_SIM_144	LEY_VERO	Mirabegron 	Mirabegron 
DOM_SIM_145	LEY_VERO	Ozagrel sodium 	Ozagrel sodium 
DOM_SIM_146	LEY_VERO	Ataluren 	Ataluren 
DOM_SIM_147	LEY_VERO	Sofalcone	Sofalcone
DOM_SIM_148	LEY_VERO	Sivifene 	Sivifene 
DOM_SIM_149	LEY_VERO	5-Aminolevulinic_acid hydrochloride	5-Aminolevulinic_acid hydrochloride
DOM_SIM_150	LEY_VERO	spaglumic-acid	spaglumic-acid
DOM_SIM_151	LEY_VERO	Clevidipine 	Clevidipine 
DOM_SIM_152	LEY_VERO	Idelalisib 	Idelalisib 
DOM_SIM_153	LEY_VERO	Tideglusib 	Tideglusib 
DOM_SIM_154	LEY_VERO	Pazopanib hydrochloride 	Pazopanib hydrochloride 
DOM_SIM_155	LEY_VERO	Clevudine 	Clevudine 
DOM_SIM_156	LEY_VERO	Benzoyl peroxide	Benzoyl peroxide
DOM_SIM_157	LEY_VERO	Erbocain	Erbocain
DOM_SIM_158	LEY_VERO	Carbazochrome sodium sulfonate	Carbazochrome sodium sulfonate
DOM_SIM_159	LEY_VERO	Creatine	Creatine
DOM_SIM_160	LEY_VERO	(+)-Matrine	(+)-Matrine
DOM_SIM_161	LEY_VERO	Piceid	Piceid
DOM_SIM_162	LEY_VERO	8-Hydroxyquinoline	8-Hydroxyquinoline
DOM_SIM_163	LEY_VERO	Diethylstilbestrol	Diethylstilbestrol
DOM_SIM_164	LEY_VERO	Sarcosine	Sarcosine
DOM_SIM_165	LEY_VERO	Nitisinone 	Nitisinone 
DOM_SIM_166	LEY_VERO	Creatinol phosphate	Creatinol phosphate
DOM_SIM_167	LEY_VERO	Eplivanserin 	Eplivanserin 
DOM_SIM_168	LEY_VERO	Pyrazoloacridine	Pyrazoloacridine
DOM_SIM_169	LEY_VERO	Aminobenzoate potassium	Aminobenzoate potassium
DOM_SIM_170	LEY_VERO	Retinol acetate 	Retinol acetate 
DOM_SIM_171	LEY_VERO	Phenylbutyric_acid sodium salt	Phenylbutyric_acid sodium salt
DOM_SIM_172	LEY_VERO	Cinromide 	Cinromide 
DOM_SIM_173	LEY_VERO	Carglumic_acid 	Carglumic_acid 
DOM_SIM_174	LEY_VERO	Vitamin E	Vitamin E
DOM_SIM_175	LEY_VERO	Nadifloxacin 	Nadifloxacin 
DOM_SIM_176	LEY_VERO	Methypranolol	Methypranolol
DOM_SIM_177	LEY_VERO	Mofezolac 	Mofezolac 
DOM_SIM_178	LEY_VERO	Norethindrone acetate 	Norethindrone acetate 
DOM_SIM_179	LEY_VERO	Methyl nicotinate	Methyl nicotinate
DOM_SIM_180	LEY_VERO	2,3-cis/exo-Camphanediol	2,3-cis/exo-Camphanediol
DOM_SIM_181	LEY_VERO	Coumarin	Coumarin
DOM_SIM_182	LEY_VERO	Trimebutine maleate	Trimebutine maleate
DOM_SIM_183	LEY_VERO	L-Citrulline	L-Citrulline
DOM_SIM_184	LEY_VERO	(+)-Taxifolin	(+)-Taxifolin
DOM_SIM_185	LEY_VERO	Tropesin	Tropesin
DOM_SIM_186	LEY_VERO	Emorfazone 	Emorfazone 
DOM_SIM_187	LEY_VERO	Antioxine	Antioxine
DOM_SIM_188	LEY_VERO	18beta-Glycyrrhetinic_acid	18beta-Glycyrrhetinic_acid
DOM_SIM_189	LEY_VERO	Chuanxiongzine	Chuanxiongzine
DOM_SIM_190	LEY_VERO	L-Tryptophan	L-Tryptophan
DOM_SIM_191	LEY_VERO	Sulindac 	Sulindac 
DOM_SIM_192	LEY_VERO	Caprylic_acid	Caprylic_acid
DOM_SIM_193	LEY_VERO	Etiracetam 	Etiracetam 
DOM_SIM_194	LEY_VERO	Guanabenz acetate 	Guanabenz acetate 
DOM_SIM_195	LEY_VERO	diiodothyropropionic-acid	diiodothyropropionic-acid
DOM_SIM_196	LEY_VERO	Lumiracoxib 	Lumiracoxib 
DOM_SIM_197	LEY_VERO	Lipoic_acid	Lipoic_acid
DOM_SIM_198	LEY_VERO	Fludrocortisone acetate	Fludrocortisone acetate
DOM_SIM_199	LEY_VERO	Salicylic_acid	Salicylic_acid
DOM_SIM_200	LEY_VERO	5-(Hydroxymethyl)furan-2-carbaldehyde	5-(Hydroxymethyl)furan-2-carbaldehyde
DOM_SIM_201	LEY_VERO	LORNOXICAM	LORNOXICAM
DOM_SIM_202	LEY_VERO	Nefiracetam 	Nefiracetam 
DOM_SIM_203	LEY_VERO	Trehalose	Trehalose
DOM_SIM_204	LEY_VERO	Metazosin	Metazosin
DOM_SIM_205	LEY_VERO	(+)-Cedrol	(+)-Cedrol
DOM_SIM_206	LEY_VERO	Ampiroxicam 	Ampiroxicam 
DOM_SIM_207	LEY_VERO	Azelaic_acid 	Azelaic_acid 
DOM_SIM_208	LEY_VERO	Adenosine 	Adenosine 
DOM_SIM_209	LEY_VERO	Histamine dihydrochloride 	Histamine dihydrochloride 
DOM_SIM_210	LEY_VERO	Piperine	Piperine
DOM_SIM_211	LEY_VERO	Cyamemazine	Cyamemazine
DOM_SIM_212	LEY_VERO	GLUCOSAMINE HYDROCHLORIDE	GLUCOSAMINE HYDROCHLORIDE
DOM_SIM_213	LEY_VERO	HQK-1001	HQK-1001
DOM_SIM_214	LEY_VERO	9-Nitrocamptothecin	9-Nitrocamptothecin
DOM_SIM_215	LEY_VERO	(S)-5-Amino-2-(2-aminoacetamido)-5-oxopentanoic_acid	(S)-5-Amino-2-(2-aminoacetamido)-5-oxopentanoic_acid
DOM_SIM_216	LEY_VERO	Hexamethylenebisacetamide	Hexamethylenebisacetamide
DOM_SIM_217	LEY_VERO	D-Penicillamine	D-Penicillamine
DOM_SIM_218	LEY_VERO	Dimethyl fumarate	Dimethyl fumarate
DOM_SIM_219	LEY_VERO	O6-Benzylguanine	O6-Benzylguanine
DOM_SIM_220	LEY_VERO	(-)-Cytisine	(-)-Cytisine
DOM_SIM_221	LEY_VERO	Benfluron hydrochloride	Benfluron hydrochloride
DOM_SIM_222	LEY_VERO	Frentizol 	Frentizol 
DOM_SIM_223	LEY_VERO	Tocopherol acetate	Tocopherol acetate
DOM_SIM_224	LEY_VERO	Acecainide hydrochloride 	Acecainide hydrochloride 
DOM_SIM_225	LEY_VERO	Riboflavin 	Riboflavin 
DOM_SIM_226	LEY_VERO	Alacepril 	Alacepril 
DOM_SIM_227	LEY_VERO	Isobutyramide	Isobutyramide
DOM_SIM_228	LEY_VERO	Inositol 	Inositol 
DOM_SIM_229	LEY_VERO	Nitazoxanide 	Nitazoxanide 
DOM_SIM_230	LEY_VERO	Zanamivir 	Zanamivir 
DOM_SIM_231	LEY_VERO	Riboflavin 5'-phosphate sodium 	Riboflavin 5'-phosphate sodium 
DOM_SIM_232	LEY_VERO	Bucladesine sodium 	Bucladesine sodium 
DOM_SIM_233	LEY_VERO	Palmidrol 	Palmidrol 
DOM_SIM_234	LEY_VERO	Tretazicar 	Tretazicar 
DOM_SIM_235	LEY_VERO	Candesartan cilexetil 	Candesartan cilexetil 
DOM_SIM_236	LEY_VERO	Salicin	Salicin
DOM_SIM_237	LEY_VERO	Imidafenacin 	Imidafenacin 
DOM_SIM_238	LEY_VERO	Dithiosteine	Dithiosteine
DOM_SIM_239	LEY_VERO	4',7-Dihydroxyisoflavanone	4',7-Dihydroxyisoflavanone
DOM_SIM_240	LEY_VERO	1-Methyl-D-tryptophan	1-Methyl-D-tryptophan
DOM_SIM_241	LEY_VERO	Gestodene 	Gestodene 
DOM_SIM_242	LEY_VERO	(-)-Epigallocatechin gallate	(-)-Epigallocatechin gallate
DOM_SIM_243	LEY_VERO	Tranilast 	Tranilast 
DOM_SIM_244	LEY_VERO	Glutamine dipeptide	Glutamine dipeptide
DOM_SIM_245	LEY_VERO	Balofloxacin dihydrate 	Balofloxacin dihydrate 
DOM_SIM_246	LEY_VERO	4-Allylguaiacol	4-Allylguaiacol
DOM_SIM_247	LEY_VERO	Cyproterone acetate	Cyproterone acetate
DOM_SIM_248	LEY_VERO	Depomedroxyprogesterone acetate	Depomedroxyprogesterone acetate
DOM_SIM_249	LEY_VERO	Cordycepic_acid	Cordycepic_acid
DOM_SIM_250	LEY_VERO	Provitamin A	Provitamin A
DOM_SIM_251	LEY_VERO	Zolmitriptan 	Zolmitriptan 
DOM_SIM_252	LEY_VERO	Indole-3-carbinol	Indole-3-carbinol
DOM_SIM_253	LEY_VERO	5-Methoxypsoralen	5-Methoxypsoralen
DOM_SIM_254	LEY_VERO	PK-11195	PK-11195
DOM_SIM_255	LEY_VERO	Orbifloxacin 	Orbifloxacin 
DOM_SIM_256	LEY_VERO	Cortisone acetate	Cortisone acetate
DOM_SIM_257	LEY_VERO	Estradiol cypionate	Estradiol cypionate
DOM_SIM_258	LEY_VERO	Terameprocol 	Terameprocol 
DOM_SIM_259	LEY_VERO	Cinnarizine 	Cinnarizine 
DOM_SIM_260	LEY_VERO	Diindolylmethane	Diindolylmethane
DOM_SIM_261	LEY_VERO	Licarbazepine 	Licarbazepine 
DOM_SIM_262	LEY_VERO	D-(+)-Pinitol	D-(+)-Pinitol
DOM_SIM_263	LEY_VERO	Uracil 5-carboxylic_acid	Uracil 5-carboxylic_acid
DOM_SIM_264	LEY_VERO	Ibuprofen 	Ibuprofen 
DOM_SIM_265	LEY_VERO	Baclofen 	Baclofen 
DOM_SIM_266	LEY_VERO	Flumazenil 	Flumazenil 
DOM_SIM_267	LEY_VERO	Curcumin	Curcumin
DOM_SIM_268	LEY_VERO	Oxipurinol 	Oxipurinol 
DOM_SIM_269	LEY_VERO	fmoc-l-leucine	fmoc-l-leucine
DOM_SIM_270	LEY_VERO	1,2-Dihydrospirorenone	1,2-Dihydrospirorenone
DOM_SIM_271	LEY_VERO	Psoralen	Psoralen
DOM_SIM_272	LEY_VERO	Puerarin (Kakonein)	Puerarin (Kakonein)
DOM_SIM_273	LEY_VERO	Mycophenolate sodium 	Mycophenolate sodium 
DOM_SIM_274	LEY_VERO	5-Azacitidine	5-Azacitidine
DOM_SIM_275	LEY_VERO	Thiothixene 	Thiothixene 
DOM_SIM_276	LEY_VERO	L-Methionine	L-Methionine
DOM_SIM_277	LEY_VERO	Ethenzamide	Ethenzamide
DOM_SIM_278	LEY_VERO	Ferulic_acid	Ferulic_acid
DOM_SIM_279	LEY_VERO	BW 58C	BW 58C
DOM_SIM_280	LEY_VERO	Noradrenaline	Noradrenaline
DOM_SIM_281	LEY_VERO	5-Fluoro-2'-deoxycytidine	5-Fluoro-2'-deoxycytidine
DOM_SIM_282	LEY_VERO	Podofilox 	Podofilox 
DOM_SIM_283	LEY_VERO	ectoine-zwitterion	ectoine-zwitterion
DOM_SIM_284	LEY_VERO	Terbinafine hydrochloride 	Terbinafine hydrochloride 
DOM_SIM_285	LEY_VERO	Uridine	Uridine
DOM_SIM_286	LEY_VERO	Galunisertib 	Galunisertib 
DOM_SIM_287	LEY_VERO	Ipriflavone 	Ipriflavone 
DOM_SIM_288	LEY_VERO	Narcosine	Narcosine
DOM_SIM_289	LEY_VERO	Rosmarinic_acid 	Rosmarinic_acid 
DOM_SIM_290	LEY_VERO	Cinalukast 	Cinalukast 
DOM_SIM_291	LEY_VERO	Carbocysteine	Carbocysteine
DOM_SIM_292	LEY_VERO	17-Hydroxyprogesterone caproate	17-Hydroxyprogesterone caproate
DOM_SIM_293	LEY_VERO	Safranal	Safranal
DOM_SIM_294	LEY_VERO	Amifampridine 	Amifampridine 
DOM_SIM_295	LEY_VERO	Pyridoxal phosphate	Pyridoxal phosphate
DOM_SIM_296	LEY_VERO	3'-Deoxyadenosine	3'-Deoxyadenosine
DOM_SIM_297	LEY_VERO	Quinine hemisulfate	Quinine hemisulfate
DOM_SIM_298	LEY_VERO	Laurocapram 	Laurocapram 
DOM_SIM_299	LEY_VERO	(-)-Epicatechin	(-)-Epicatechin
DOM_SIM_300	LEY_VERO	CID54359408	CID54359408
DOM_SIM_301	LEY_VERO	Felbamate 	Felbamate 
DOM_SIM_302	LEY_VERO	D-Serine	D-Serine
DOM_SIM_303	LEY_VERO	Phloretin	Phloretin
DOM_SIM_304	LEY_VERO	Ritodrine hydrochloride 	Ritodrine hydrochloride 
DOM_SIM_305	LEY_VERO	N-2-Mercaptopropionyl-glycine	N-2-Mercaptopropionyl-glycine
DOM_SIM_306	LEY_VERO	Ancitabine hydrochloride 	Ancitabine hydrochloride 
DOM_SIM_307	LEY_VERO	Glycerol triheptanoate	Glycerol triheptanoate
DOM_SIM_308	LEY_VERO	Lactobionic_acid	Lactobionic_acid
DOM_SIM_309	LEY_VERO	17beta-Estradiol	17beta-Estradiol
DOM_SIM_310	LEY_VERO	Axitinib 	Axitinib 
DOM_SIM_311	LEY_VERO	Dactolisib 	Dactolisib 
DOM_SIM_312	LEY_VERO	Afatinib 	Afatinib 
DOM_SIM_313	LEY_VERO	Bosutinib 	Bosutinib 
DOM_SIM_314	LEY_VERO	Cediranib maleate 	Cediranib maleate 
DOM_SIM_315	LEY_VERO	Lenalidomide 	Lenalidomide 
DOM_SIM_316	LEY_VERO	Panobinostat lactate 	Panobinostat lactate 
DOM_SIM_317	LEY_VERO	Vandetanib 	Vandetanib 
DOM_SIM_318	LEY_VERO	Elesclomol 	Elesclomol 
DOM_SIM_319	LEY_VERO	Olaparib 	Olaparib 
DOM_SIM_320	LEY_VERO	Pictilisib 	Pictilisib 
DOM_SIM_321	LEY_VERO	Vismodegib 	Vismodegib 
DOM_SIM_322	LEY_VERO	Belinostat 	Belinostat 
DOM_SIM_323	LEY_VERO	Iniparib 	Iniparib 
DOM_SIM_324	LEY_VERO	Abexinostat 	Abexinostat 
DOM_SIM_325	LEY_VERO	Dacinostat 	Dacinostat 
DOM_SIM_326	LEY_VERO	BI 2536	BI 2536
DOM_SIM_327	LEY_VERO	Cabozantinib S-malate 	Cabozantinib S-malate 
DOM_SIM_328	LEY_VERO	Mocetinostat dihydrobromide 	Mocetinostat dihydrobromide 
DOM_SIM_329	LEY_VERO	Ivacaftor 	Ivacaftor 
DOM_SIM_330	LEY_VERO	PD-98059	PD-98059
DOM_SIM_331	LEY_VERO	Raltitrexed 	Raltitrexed 
DOM_SIM_332	LEY_VERO	Dutasteride 	Dutasteride 
DOM_SIM_333	LEY_VERO	Tivozanib 	Tivozanib 
DOM_SIM_334	LEY_VERO	Nelarabine 	Nelarabine 
DOM_SIM_335	LEY_VERO	Clofarabine 	Clofarabine 
DOM_SIM_336	LEY_VERO	Enzalutamide 	Enzalutamide 
DOM_SIM_337	LEY_VERO	Dienogest 	Dienogest 
DOM_SIM_338	LEY_VERO	Ramelteon 	Ramelteon 
DOM_SIM_339	LEY_VERO	Vemurafenib 	Vemurafenib 
DOM_SIM_340	LEY_VERO	Adapalene 	Adapalene 
DOM_SIM_341	LEY_VERO	Zoledronate	Zoledronate
DOM_SIM_342	LEY_VERO	(R)-Etodolac	(R)-Etodolac
DOM_SIM_343	LEY_VERO	TG-100115	TG-100115
DOM_SIM_344	LEY_VERO	(-)-Epothilone B	(-)-Epothilone B
DOM_SIM_345	LEY_VERO	Ruxolitinib phosphate 	Ruxolitinib phosphate 
DOM_SIM_346	LEY_VERO	Tenofovir 	Tenofovir 
DOM_SIM_347	LEY_VERO	Tipifarnib 	Tipifarnib 
DOM_SIM_348	LEY_VERO	Neflamapimod 	Neflamapimod 
DOM_SIM_349	LEY_VERO	GW 501516	GW 501516
DOM_SIM_350	LEY_VERO	Pimasertib hydrochloride 	Pimasertib hydrochloride 
DOM_SIM_351	LEY_VERO	AEE788	AEE788
DOM_SIM_352	LEY_VERO	Mycophenolate mofetil 	Mycophenolate mofetil 
DOM_SIM_353	LEY_VERO	Alprostadil 	Alprostadil 
DOM_SIM_354	LEY_VERO	Pracinostat hydrochloride 	Pracinostat hydrochloride 
DOM_SIM_355	LEY_VERO	Cidofovir 	Cidofovir 
DOM_SIM_356	LEY_VERO	Adavosertib 	Adavosertib 
DOM_SIM_357	LEY_VERO	Pimobendan 	Pimobendan 
DOM_SIM_358	LEY_VERO	BMS 777607	BMS 777607
DOM_SIM_359	LEY_VERO	Lumacaftor 	Lumacaftor 
DOM_SIM_360	LEY_VERO	Tazarotene 	Tazarotene 
DOM_SIM_361	LEY_VERO	RO4929097	RO4929097
DOM_SIM_362	LEY_VERO	Apixaban 	Apixaban 
DOM_SIM_363	LEY_VERO	Erteberel 	Erteberel 
DOM_SIM_364	LEY_VERO	Cefdinir 	Cefdinir 
DOM_SIM_365	LEY_VERO	Emtricitabine 	Emtricitabine 
DOM_SIM_366	LEY_VERO	Deferasirox 	Deferasirox 
DOM_SIM_367	LEY_VERO	Chlorprothixene 	Chlorprothixene 
DOM_SIM_368	LEY_VERO	Risedronate sodium 	Risedronate sodium 
DOM_SIM_369	LEY_VERO	Lacidipine 	Lacidipine 
DOM_SIM_370	LEY_VERO	CID54749203	CID54749203
DOM_SIM_371	LEY_VERO	Epalrestat 	Epalrestat 
DOM_SIM_372	LEY_VERO	Ambrisentan 	Ambrisentan 
DOM_SIM_373	LEY_VERO	Imidapril hydrochloride 	Imidapril hydrochloride 
DOM_SIM_374	LEY_VERO	Blonanserin 	Blonanserin 
DOM_SIM_375	LEY_VERO	Licofelone 	Licofelone 
