CIDX	RIDX	COMPOUND_NAME	COMPOUND_KEY	COMPOUND_SOURCE
Trichostatin A	1	Trichostatin A	Trichostatin A	Molport (sourced from TargetMol)
Meglutol	1	Meglutol	Meglutol	Mcule (sourced from TargetMol)
M77976	1	M77976	M77976	Mcule (sourced from ChemScene)
PU H71	1	PU H71	PU H71	Tocris
Catalposide	1	Catalposide	Catalposide	Molport (sourced from ChemFaces)
NMS-E973	1	NMS-E973	NMS-E973	Mcule (sourced from Selleckchem)
Luminespib	1	Luminespib	Luminespib	Molport (sourced from TargetMol)
CCT 018159	1	CCT 018159	CCT 018159	Tocris
Radicicol	1	Radicicol	Radicicol	Tocris
Zearalanone	1	Zearalanone	Zearalanone	Molport (sourced from Cayman Europe)
SNX 2112	1	SNX 2112 (PF 04928473)	SNX 2112	Mcule (sourced from Molnova)
NVP-BEP800	1	NVP-BEP800	NVP-BEP800	Molport (sourced from TargetMol)
ADP	1	Adenosine 5'-diphosphate	ADP	Mcule (sourced from BLD Pharm)
OG-L002	1	OG-L002	OG-L002	Mcule (sourced from Selleckchem)
RN-1	1	RN-1 (hydrochloride)	RN-1	Molport (sourced from Cayman Europe)
GSK2879552	1	GSK2879552 2HCl	GSK2879552	Molport (sourced from TargetMol)
GSK-F1	1	GSK-F1	GSK-F1	Mcule (sourced from DC Chemicals Ltd)
GF 109203X	1	GF 109203X	GF 109203X	Tocris
Epoxomicin	1	Epoxomicin	Epoxomicin	Molport (sourced from TargetMol)
MG-132	1	Calpain inhibitor IV (MG-132)	MG-132	Mcule (sourced from Apollo Scientific)
ML282	1	CID-1067700 (ML282)	ML282	Mcule (sourced from ChemScene)
GDP	1	Guanosine 5'-diphosphate	GDP	Mcule (sourced from TargetMol)
JNJ7706621	1	JNJ7706621	JNJ7706621	Molport (sourced from TargetMol)
G 5555	1	G 5555	G 5555	Tocris
PHA665752	1	PHA665752	PHA665752	Mcule (sourced from TargetMol)
Tozasertib	1	Tozasertib	Tozasertib	Molport (sourced from TargetMol)
TAE684	1	TAE684	TAE684	Molport (sourced from TargetMol)
SB 505124	1	SB 505124	SB 505124	Tocris
Galunisertib	1	Galunisertib	Galunisertib	Molport (sourced from TargetMol)
SD 208	1	SD 208	SD 208	Tocris
OR7811	1	4-[(3-pyridin-2-yl)-1H-pyrazol-4-yl)]quinoline	OR7811	Mcule (sourced from Apollo Scientific)
SB 431542	1	SB 431542	SB 431542	Mcule (sourced from TargetMol)
7070707105	1	2-(6-methylpyridin-2-yl)-N-(pyridin-4-yl)quinazolin-4-amine	7070707105	Molport (sourced from Otava Ltd)
Chebulagic acid	1	Chebulagic acid	Chebulagic acid	Mcule (sourced from Chemfaces)
Camptothecin	1	(S)-4-Ethyl-4-hydroxy-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinoline-3,14(4H,12H)-dione	Camptothecin	Molport (sourced from BLD Pharamtech Ltd)
MRT67307	1	MRT67307 HCl	MRT67307	Mcule (sourced from TargetMol)
R406	1	R406 free base	R406	Molport (sourced from TargetMol)
SKI-II	1	Sphingosine kinase inhibitor 2 (SKI 2)	SKI-II	Mcule (sourced from AK Scientific)
