ASSAY_ID	REFERENCE_ID	ASSAY_DESCRIPTION	ASSAY_TYPE	ASSAY_TEST_TYPE	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	ASSAY_TISSUE	ASSAY_CELL_LINE	ASSAY_SUBCELLULAR_FRACTION	TARGET_TYPE	TARGET_NAME	TARGET_ACCESSION	TARGET_ORGANISM	TARGET_TAX_ID	SRC_ID	ASSAY_SOURCE
1327087	1	Cytotoxicity in Vitro	F	In Vitro	MRC-5 cells	Human Lung Fibroblast Cells					ORGANISM	MRC-5 cells				14	HEOS
1327669	1	HAT in Vitro	F	In Vitro	T. b. brucei	SBRI 427					ORGANISM	T. b. brucei				14	HEOS
1327661	1	HAT in Vitro	F	In Vitro	T.b. rhodesiense	ATCC 30027					ORGANISM	T.b. rhodesiense				14	HEOS
1035678	1	HAT in vivo at 50 mg/kg, 4 adm days	F	In Vivo	T. b. brucei	EATRO 110 po					ORGANISM	T. b. brucei				14	HEOS
1326903	1	Leish (macro) in Vitro	F	In Vitro	L. infantum	MHOM/MA(BE)/67					ORGANISM	L. infantum				14	HEOS
1326853	1	Leish In Vivo - % inhibition and MSD at 50 mg/kg, 5 days 2x	F	In Vivo	L. infantum	MHOM/MA(BE)/67 Hamster-Early curative model po					ORGANISM	L. infantum				14	HEOS
1326854	1	Leish In Vivo - % inhibition and MSD at 50 mg/kg, 5 days 2x	F	In Vivo	L. infantum	MHOM/MA(BE)/67 Hamster-Early curative model po					ORGANISM	L. infantum				14	HEOS
1326855	1	Leish In Vivo - % inhibition and MSD at 50 mg/kg, 5 days 2x	F	In Vivo	L. infantum	MHOM/MA(BE)/67 Hamster-Early curative model po					ORGANISM	L. infantum				14	HEOS
1038090	1	Leish macro in vitro at 10 uM	F	In Vitro	L. donovani	MHOM/ET/67/L82					ORGANISM	L. donovani				14	HEOS
1007988	1	Lipophilicity	A	In Vitro	gLogD	pH 3					ORGANISM	gLogD				14	HEOS
1007173	1	Lipophilicity	A	In Vitro	gLogD	pH 7.4					ORGANISM	gLogD				14	HEOS
1007806	1	Metabolism	A	In Vitro	Human	Microsomes					ORGANISM	Human				14	HEOS
1000252	1	Metabolism	A	In Vitro	Human	Microsomes					ORGANISM	Human				14	HEOS
1007804	1	Metabolism	A	In Vitro	Human	Microsomes					ORGANISM	Human				14	HEOS
1041455	1	Metabolism	A	In Vitro	Met ID	unknown					ORGANISM	Met ID				14	HEOS
1007805	1	Metabolism	A	In Vitro	Mouse	Microsomes					ORGANISM	Mouse				14	HEOS
1007807	1	Metabolism	A	In Vitro	Mouse	Microsomes					ORGANISM	Mouse				14	HEOS
1007808	1	Metabolism	A	In Vitro	Mouse	Microsomes					ORGANISM	Mouse				14	HEOS
1331560	1	Metabolism	A	In Vitro	Rat	Hepatocytes					ORGANISM	Rat				14	HEOS
1037587	1	Metabolism	A	In Vitro	Rat	Hepatocytes					ORGANISM	Rat				14	HEOS
1330173	1	Metabolism	A	In Vitro	Rat	Microsomes					ORGANISM	Rat				14	HEOS
1007990	1	Metabolism	A	In Vitro	Rat	Microsomes					ORGANISM	Rat				14	HEOS
1007989	1	Metabolism	A	In Vitro	Rat	Microsomes					ORGANISM	Rat				14	HEOS
1000253	1	Metabolism	A	In Vitro	Rat	Microsomes					ORGANISM	Rat				14	HEOS
1031116	1	Permeability	A	In Vitro	CACO-2 - pH 7.4/7.4	A to B					ORGANISM	CACO-2 - pH 7.4/7.4				14	HEOS
1041452	1	protein binding	A	In Vitro	mouse	brain homogenate					ORGANISM	mouse				14	HEOS
1008045	1	protein binding	A	In Vitro	mouse	plasma					ORGANISM	mouse				14	HEOS
1331688	1	protein binding	A	In Vitro	Rat	Liver Microsomes					ORGANISM	Rat				14	HEOS
1038452	1	protein binding	A	In Vitro	rat	plasma					ORGANISM	rat				14	HEOS
1007175	1	Solubility	A	In Vitro	0.01M HCl - pH 2	NEPH_RT					ORGANISM	0.01M HCl - pH 2				14	HEOS
1007599	1	Solubility	A	In Vitro	PBS - pH 6.5	NEPH_RT					ORGANISM	PBS - pH 6.5				14	HEOS
1037536	1	Stability, 4 hour	A	In Vitro	Blood	mouse					ORGANISM	Blood				14	HEOS
1037537	1	Stability, 4 hour	A	In Vitro	Plasma	mouse					ORGANISM	Plasma				14	HEOS
