smiles code,active ingredient,salt,relation,assay value,target disease,protein target,treatment concentration,treatment unit,exposure time (h),measurement,type,model type,description,dataset,REFERENCE_ID,ASSAY_TYPE,ASSAY_ORGANISM,ASSAY_STRAIN,TARGET_TYPE,SRC_ID,ASSAY_SOURCE
N=c1c2c(n(Cc3ccc(Cl)cc3Cl)c3c1CCC3)CCCC2,N=c1c2c(n(Cc3ccc(Cl)cc3Cl)c3c1CCC3)CCCC2,.,= ,0.842,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
Oc1c(C(c2ccc(C(F)(F)F)cc2)N2CCOCC2)ccc2cccnc12,Oc1c(C(c2ccc(C(F)(F)F)cc2)N2CCOCC2)ccc2cccnc12,.,= ,5.43,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
CC(=O)NC(=S)NNC(=O)c1ccccc1OCc1ccccc1,CC(=O)NC(=S)NNC(=O)c1ccccc1OCc1ccccc1,.,= ,2.88,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
CCN1/C(=C/c2sc3ccc(Cl)cc3[n+]2CC)C=Cc2cc(OC)ccc21,CCN1/C(=C/c2sc3ccc(Cl)cc3[n+]2CC)C=Cc2cc(OC)ccc21,.,= ,0.706,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
CN1/C(=C/c2cccc[n+]2C)Sc2ccccc21,CN1/C(=C/c2cccc[n+]2C)Sc2ccccc21,.,= ,0.477,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
CN(C)c1ccc(/C=C/c2sc3ccc4ccccc4c3[n+]2C)cc1,CN(C)c1ccc(/C=C/c2sc3ccc4ccccc4c3[n+]2C)cc1,.,= ,,T.b. brucei,,,uM,,IC90,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
COc1ccc(N2C(=O)CN(Cc3ccccc3)C2=S)cc1Cl,COc1ccc(N2C(=O)CN(Cc3ccccc3)C2=S)cc1Cl,.,= ,5.49,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
COc1ccc(C(=O)C(C)N2C=CC=C/C2=C2\C=CC=CN2)cc1,COc1ccc(C(=O)C(C)N2C=CC=C/C2=C2\C=CC=CN2)cc1,.,= ,4.25,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
O=S1(=O)Nc2c(ccc3cccnc23)-c2ccccc21,O=S1(=O)Nc2c(ccc3cccnc23)-c2ccccc21,.,= ,2.87,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
CC[n+]1c(/C=C2\SC=C(c3ccccc3)N2C)ccc2cc(C)ccc21,CC[n+]1c(/C=C2\SC=C(c3ccccc3)N2C)ccc2cc(C)ccc21,.,= ,0.416,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
O=C(CC1(O)C(=O)Nc2ccc(I)cc21)c1cccs1,O=C(CC1(O)C(=O)Nc2ccc(I)cc21)c1cccs1,.,= ,0.931,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
Cc1cc2cc3c(cc2c(C)n1)c1ccccc1n3C,Cc1cc2cc3c(cc2c(C)n1)c1ccccc1n3C,.,= ,5.19,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
Cc1cc2cc3c(cc2c(C)n1)c1ccccc1n3C,Cc1cc2cc3c(cc2c(C)n1)c1ccccc1n3C,.,= ,4.73,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
NCCc1c[nH]c2ccc(C3CCCCC3)cc12,NCCc1c[nH]c2ccc(C3CCCCC3)cc12,.,= ,1.28,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
COc1ccc(-c2nc(Nc3ccc(F)cc3F)c3ccccc3n2)cc1OC,COc1ccc(-c2nc(Nc3ccc(F)cc3F)c3ccccc3n2)cc1OC,.,= ,7.04,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
CCOC(=O)/C=C\n1nnc2ccccc21,CCOC(=O)/C=C\n1nnc2ccccc21,.,= ,0.503,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
CCOC(=O)c1ccc(CN2C(=O)C(=O)c3cc(OC(F)(F)F)ccc32)o1,CCOC(=O)c1ccc(CN2C(=O)C(=O)c3cc(OC(F)(F)F)ccc32)o1,.,= ,4.03,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
Cc1[nH]c2ccccc2c1/C=C1\SC(=N)N(c2nccs2)C1=O,Cc1[nH]c2ccccc2c1/C=C1\SC(=N)N(c2nccs2)C1=O,.,= ,2.15,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
CCN1C(C)=C(C)S/C1=C\c1ccc2cc(C)ccc2[n+]1C,CCN1C(C)=C(C)S/C1=C\c1ccc2cc(C)ccc2[n+]1C,.,= ,0.317,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
CN1CCN(Nc2ccnc3cc4ccccc4cc23)CC1,CN1CCN(Nc2ccnc3cc4ccccc4cc23)CC1,.,= ,3.36,MRC-5 cells,,,uM,,IC50,In Vitro,,CYTOTOXICITY,set8,1.0,F,MRC-5 cells,human lung fibroblasts,ORGANISM,14.0,HEOS
CN1CCN(Nc2ccnc3cc4ccccc4cc23)CC1,CN1CCN(Nc2ccnc3cc4ccccc4cc23)CC1,.,= ,0.357,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
COc1ccc(N2C(=O)CN(Cc3sccc3C)C2=S)cc1Cl,COc1ccc(N2C(=O)CN(Cc3sccc3C)C2=S)cc1Cl,.,= ,4.94,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
Cc1ccc2ccc3ccc(C)nc3c2n1,Cc1ccc2ccc3ccc(C)nc3c2n1,.,= ,0.557,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
N=c1n(Cc2ccccc2)c2ccccc2n1CC(O)c1ccc(Cl)cc1,N=c1n(Cc2ccccc2)c2ccccc2n1CC(O)c1ccc(Cl)cc1,.,= ,5.48,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
N=c1n(Cc2ccccc2)c2ccccc2n1CC(O)c1ccc(Cl)cc1,N=c1n(Cc2ccccc2)c2ccccc2n1CC(O)c1ccc(Cl)cc1,.,= ,5.31,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
Cc1cc(NC2CCCCC2)nc(NCc2ccccc2)n1,Cc1cc(NC2CCCCC2)nc(NCc2ccccc2)n1,.,= ,4.49,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
CC1=CC(C)(C)N=C(Nc2nc(C)c3cc(C)cc(C)c3n2)N1,CC1=CC(C)(C)N=C(Nc2nc(C)c3cc(C)cc(C)c3n2)N1,.,= ,5.93,MRC-5 cells,,,uM,,IC50,In Vitro,,CYTOTOXICITY,set8,1.0,F,MRC-5 cells,human lung fibroblasts,ORGANISM,14.0,HEOS
CC1=CC(C)(C)N=C(Nc2nc(C)c3cc(C)cc(C)c3n2)N1,CC1=CC(C)(C)N=C(Nc2nc(C)c3cc(C)cc(C)c3n2)N1,.,= ,3.73,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
O/N=C1/C=C/C(=N\O)c2ncccc21,O/N=C1/C=C/C(=N\O)c2ncccc21,.,= ,2.32,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
O/N=C1/C=C/C(=N\O)c2ncccc21,O/N=C1/C=C/C(=N\O)c2ncccc21,.,= ,4.89,MRC-5 cells,,,uM,,IC50,In Vitro,,CYTOTOXICITY,set8,1.0,F,MRC-5 cells,human lung fibroblasts,ORGANISM,14.0,HEOS
Cc1ccc(CN(C)C)c(O)c(=O)c1,Cc1ccc(CN(C)C)c(O)c(=O)c1,.,= ,5.63,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
Nc1ccc2ccc3cccnc3c2n1,Nc1ccc2ccc3cccnc3c2n1,.,= ,2.4,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
CCc1ccc(/C=N\n2cnnc2)cc1,CCc1ccc(/C=N\n2cnnc2)cc1,.,= ,0.647,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
CC(=O)Cc1ccc2cccc(O)c2n1,CC(=O)Cc1ccc2cccc(O)c2n1,.,= ,4.56,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
Clc1ccnc2c1ccc1nn[nH]c12,Clc1ccnc2c1ccc1nn[nH]c12,.,= ,4.39,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
CCOc1ccc(/C=N/NC(=N)N)cc1,CCOc1ccc(/C=N/NC(=N)N)cc1,.,= ,5.66,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
Nc1ccsc1/C=C/c1cccs1,Nc1ccsc1/C=C/c1cccs1,.,= ,5.05,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
NC1=C(Cl)C(=O)c2ccccc2C1=O,NC1=C(Cl)C(=O)c2ccccc2C1=O,.,= ,2.44,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
Cc1n[nH]c(C)c1/N=N/N1CCOCC1,Cc1n[nH]c(C)c1/N=N/N1CCOCC1,.,= ,0.7,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
Cc1n[nH]c(C)c1/N=N/N1CCOCC1,Cc1n[nH]c(C)c1/N=N/N1CCOCC1,.,= ,3.61,MRC-5 cells,,,uM,,IC50,In Vitro,,CYTOTOXICITY,set8,1.0,F,MRC-5 cells,human lung fibroblasts,ORGANISM,14.0,HEOS
OC12C[C@@H](C3CO[C@@H]1O3)n1nnnc1N2,OC12C[C@@H](C3CO[C@@H]1O3)n1nnnc1N2,.,= ,4.84,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
Cc1ccccc1C(=O)Nc1ccccn1,Cc1ccccc1C(=O)Nc1ccccn1,.,= ,1.22,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
[O-][n+]1onc2cc(Cl)c3nonc3c21,[O-][n+]1onc2cc(Cl)c3nonc3c21,.,= ,5.23,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
O=C(c1ccccc1)c1ccc(O)c(O)c1,O=C(c1ccccc1)c1ccc(O)c(O)c1,.,= ,1.2,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
Oc1cccc2ccc(CNC3CC3)nc12,Oc1cccc2ccc(CNC3CC3)nc12,.,= ,5.36,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
Cc1ccc2[nH]c3c(c2c1)CCCC3CN,Cc1ccc2[nH]c3c(c2c1)CCCC3CN,.,= ,1.22,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
Cc1ccc2[nH]c3c(c2c1)CCCC3CN,Cc1ccc2[nH]c3c(c2c1)CCCC3CN,.,= ,0.664,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
Cc1nc2c(cc(O)c3ccccc32)s1,Cc1nc2c(cc(O)c3ccccc32)s1,.,= ,5.47,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
O=c1nc(N/N=C/c2ccccn2)cn[nH]1,O=c1nc(N/N=C/c2ccccn2)cn[nH]1,.,= ,5.64,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
Cc1cc(C)c2c(c1)CC(C)(C)C(=O)C2=O,Cc1cc(C)c2c(c1)CC(C)(C)C(=O)C2=O,.,= ,3.3,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
Cc1cc(Cl)c2c(N)c(C)cc(C)c2n1,Cc1cc(Cl)c2c(N)c(C)cc(C)c2n1,.,= ,4.09,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
NC1CCCc2c1[nH]c1ccc(Cl)cc21,NC1CCCc2c1[nH]c1ccc(Cl)cc21,.,= ,0.823,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
NC1CCCc2c1[nH]c1ccc(Cl)cc21,NC1CCCc2c1[nH]c1ccc(Cl)cc21,.,= ,2.29,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
NC(N)=N/N=C1/C(=O)Nc2ccc(F)cc21,NC(N)=N/N=C1/C(=O)Nc2ccc(F)cc21,.,= ,1.42,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
O=C1Nc2ccccc2/C1=C/c1ccccn1,O=C1Nc2ccccc2/C1=C/c1ccccn1,.,= ,5.25,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
O=C1Nc2ccccc2/C1=C/c1ccccn1,O=C1Nc2ccccc2/C1=C/c1ccccn1,.,= ,5.23,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
C=CCNc1nc(N)c(/C(N)=N\C#N)s1,C=CCNc1nc(N)c(/C(N)=N\C#N)s1,.,= ,3.21,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
CC1(C)CC(=S)C=C(N2CCCCC2)C1,CC1(C)CC(=S)C=C(N2CCCCC2)C1,.,= ,1.95,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
CCn1c2cccc(=O)c-2nc2ccccc21,CCn1c2cccc(=O)c-2nc2ccccc21,.,= ,,T.b. brucei,,,uM,,IC90,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
Nc1ccc(Nc2coc3ccccc23)cc1,Nc1ccc(Nc2coc3ccccc23)cc1,.,= ,3.68,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
CSC(=S)N/N=C(\C)c1ccncn1,CSC(=S)N/N=C(\C)c1ccncn1,.,= ,5.02,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
O=C(NO)c1sc2ccccc2c1Cl,O=C(NO)c1sc2ccccc2c1Cl,.,= ,3.76,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
COc1cccc2c(N)c3c(cnn3C)nc12,COc1cccc2c(N)c3c(cnn3C)nc12,.,= ,1.21,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
CC(C)(C)c1ccc(/C=N/n2cnnc2)cc1,CC(C)(C)c1ccc(/C=N/n2cnnc2)cc1,.,= ,0.49,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
CCCc1c(CC)c(=N)c2ccccc2n1C,CCCc1c(CC)c(=N)c2ccccc2n1C,.,= ,4.55,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
NC(=O)c1ccc(Nc2ccccc2)[nH]c1=O,NC(=O)c1ccc(Nc2ccccc2)[nH]c1=O,.,= ,5.28,MRC-5 cells,,,uM,,IC50,In Vitro,,CYTOTOXICITY,set8,1.0,F,MRC-5 cells,human lung fibroblasts,ORGANISM,14.0,HEOS
NC(=O)c1ccc(Nc2ccccc2)[nH]c1=O,NC(=O)c1ccc(Nc2ccccc2)[nH]c1=O,.,= ,5.52,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
Cc1ccc(C(=O)C(CO)n2ccnc2)cc1,Cc1ccc(C(=O)C(CO)n2ccnc2)cc1,.,= ,2.05,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
Cc1cc(Cl)n(C)c2nc3ccccc3c1-2,Cc1cc(Cl)n(C)c2nc3ccccc3c1-2,.,= ,0.631,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
O=C1Nc2ccc(OC(F)(F)F)cc2C1=O,O=C1Nc2ccc(OC(F)(F)F)cc2C1=O,.,= ,4.72,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
CC(C)(C)C/C(=N\NC(=N)N)c1ccccc1,CC(C)(C)C/C(=N\NC(=N)N)c1ccccc1,.,= ,5.39,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
C/N=c1\nnc(Nc2ccccc2O)c(N)o1,C/N=c1\nnc(Nc2ccccc2O)c(N)o1,.,= ,4.68,MRC-5 cells,,,uM,,IC50,In Vitro,,CYTOTOXICITY,set8,1.0,F,MRC-5 cells,human lung fibroblasts,ORGANISM,14.0,HEOS
C/N=c1\nnc(Nc2ccccc2O)c(N)o1,C/N=c1\nnc(Nc2ccccc2O)c(N)o1,.,= ,0.287,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
Cc1cccc(N2CCN(CCN)CC2)c1C,Cc1cccc(N2CCN(CCN)CC2)c1C,.,= ,5.21,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
CC1=NN(C(=O)c2ccccc2O)C(C)(O)C1,CC1=NN(C(=O)c2ccccc2O)C(C)(O)C1,.,= ,0.66,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
CCCCOc1ccccc1/C=N/NC(=N)N,CCCCOc1ccccc1/C=N/NC(=N)N,.,= ,5.38,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
O=C1/C(=C\c2cccnc2)CCc2ccccc21,O=C1/C(=C\c2cccnc2)CCc2ccccc21,.,= ,5.02,T.b. brucei,,,uM,,IC50,In Vitro,,HAT in vitro,set8,1.0,F,T.b. brucei,STIB 795,ORGANISM,14.0,HEOS
