smiles code,active ingredient,salt,relation,assay value,target disease,protein target,treatment concentration,treatment unit,exposure time (h),measurement,type,model type,description,dataset,ASSAY_TYPE,ASSAY_STRAIN,TARGET_TYPE,DOSE,timepoint_unit,SUPPLIER,ASSAY_SOP,New ASSAY_SOP,Comment
CCCCCOc1ccc(-c2nc(CNC[C@@H]3CC[C@H]4C[C@@H]3C4(C)C)co2)cc1,CCCCCOc1ccc(-c2nc(CNC[C@@H]3CC[C@H]4C[C@@H]3C4(C)C)co2)cc1,.,=,12.0,Mouse,,,Min,,t (1 / 2),,,Metabolic Stability in Liver Sub -celluar Fractions,set5,F,Microsomes,ORGANISM,1.0,minute,SCYNEXIS,#008-08,SCYVTMET1,
CCCCCOc1ccc(-c2nc(CNC[C@@H]3CC[C@H]4C[C@@H]3C4(C)C)co2)cc1,CCCCCOc1ccc(-c2nc(CNC[C@@H]3CC[C@H]4C[C@@H]3C4(C)C)co2)cc1,.,=,74.0,Mouse,,,uL/min/mg,,CLint in vitro,,,Metabolic Stability in Liver Sub -celluar Fractions,set5,F,Microsomes,ORGANISM,1.0,minute,SCYNEXIS,#008-08,SCYVTMET1,
CCCCCOc1ccc(-c2nc(CNC3CCCCCC3)co2)cc1,CCCCCOc1ccc(-c2nc(CNC3CCCCCC3)co2)cc1,.,=,8.0,Mouse,,,uL/min/mg,,CLint in vitro,,,Metabolic Stability in Liver Sub -celluar Fractions,set5,F,Microsomes,ORGANISM,1.0,minute,SCYNEXIS,#008-08,SCYVTMET1,
CCCCCOc1ccc(-c2nc(CNC3CCCCCC3)co2)cc1,CCCCCOc1ccc(-c2nc(CNC3CCCCCC3)co2)cc1,.,=,101.0,Mouse,,,Min,,t (1 / 2),,,Metabolic Stability in Liver Sub -celluar Fractions,set5,F,Microsomes,ORGANISM,1.0,minute,SCYNEXIS,#008-08,SCYVTMET1,
CCCCCOc1ccc(-c2nc(CNC3CCCCCC3)co2)cc1,CCCCCOc1ccc(-c2nc(CNC3CCCCCC3)co2)cc1,.,=,0.25,T. b. brucei,,,ug/ml,,IC50,,,HAT in vitro,set5,F,SBRI 427,ORGANISM,,,SCYNEXIS,MAN_03-_12_07,SCYVTHAT1,
CCCCCOc1ccc(-c2nc(CNC3CCCCCC3)co2)cc1,CCCCCOc1ccc(-c2nc(CNC3CCCCCC3)co2)cc1,.,=,29.51,L929,,,ug/ml,,IC50,,,CYTO-SP,set5,F,fibroblast,ORGANISM,,hour,SCYNEXIS,CYTO22AUG07,SCYVTCYT2,24 Hours
CCCCCC(C)NCc1coc(-c2ccc(OCCC)cc2)n1,CCCCCC(C)NCc1coc(-c2ccc(OCCC)cc2)n1,.,=,27.55,L929,,,ug/ml,,IC50,,,CYTO-SP,set5,F,fibroblast,ORGANISM,,hour,SCYNEXIS,CYTO22AUG07,SCYVTCYT2,24 Hours
CCCCCC(C)NCc1coc(-c2ccc(OCCC)cc2)n1,CCCCCC(C)NCc1coc(-c2ccc(OCCC)cc2)n1,.,=,0.54,T. b. brucei,,,ug/ml,,IC50,,,HAT in vitro,set5,F,SBRI 427,ORGANISM,,,SCYNEXIS,MAN_03-_12_07,SCYVTHAT1,
CCCCCC(C)NCc1coc(-c2ccc(OCCC)cc2)n1,CCCCCC(C)NCc1coc(-c2ccc(OCCC)cc2)n1,.,=,27.0,Mouse,,,Min,,t (1 / 2),,,Metabolic Stability in Liver Sub -celluar Fractions,set5,F,Microsomes,ORGANISM,1.0,minute,SCYNEXIS,#008-08,SCYVTMET1,
CCCCCC(C)NCc1coc(-c2ccc(OCCC)cc2)n1,CCCCCC(C)NCc1coc(-c2ccc(OCCC)cc2)n1,.,=,31.0,Mouse,,,uL/min/mg,,CLint in vitro,,,Metabolic Stability in Liver Sub -celluar Fractions,set5,F,Microsomes,ORGANISM,1.0,minute,SCYNEXIS,#008-08,SCYVTMET1,
CCCOc1ccc(-c2nc(CNC3[C@H]4C[C@@H]5C[C@@H](C[C@H]3C5)C4)co2)cc1,CCCOc1ccc(-c2nc(CNC3[C@H]4C[C@@H]5C[C@@H](C[C@H]3C5)C4)co2)cc1,.,=,3.67,L929,,,ug/ml,,IC50,,,CYTOTOXICITY,set5,F,fibroblast,ORGANISM,,hour,SCYNEXIS,CYTODR16MAY08,SCYVTCYT1,72 Hours
CCCOc1ccc(-c2nc(CNC3[C@H]4C[C@@H]5C[C@@H](C[C@H]3C5)C4)co2)cc1,CCCOc1ccc(-c2nc(CNC3[C@H]4C[C@@H]5C[C@@H](C[C@H]3C5)C4)co2)cc1,.,=,0.69,T. b. brucei,,,ug/ml,,IC50,,,HAT in vitro,set5,F,SBRI 427,ORGANISM,,,SCYNEXIS,MAN_03-_12_07,SCYVTHAT1,
CCCOc1ccc(-c2nc(CNC3CC(C)CC(C)(C)C3)co2)cc1,CCCOc1ccc(-c2nc(CNC3CC(C)CC(C)(C)C3)co2)cc1,.,=,15.88,L929,,,ug/ml,,IC50,,,CYTO-SP,set5,F,fibroblast,ORGANISM,,hour,SCYNEXIS,CYTO22AUG07,SCYVTCYT2,24 Hours
CCCOc1ccc(-c2nc(CNC3CC(C)CC(C)(C)C3)co2)cc1,CCCOc1ccc(-c2nc(CNC3CC(C)CC(C)(C)C3)co2)cc1,.,=,1.37,T. b. brucei,,,ug/ml,,IC50,,,HAT in vitro,set5,F,SBRI 427,ORGANISM,,,SCYNEXIS,MAN_03-_12_07,SCYVTHAT1,
CCCOc1ccc(-c2nc(CNC3CCCCCC3)co2)cc1,CCCOc1ccc(-c2nc(CNC3CCCCCC3)co2)cc1,.,=,1.25,T. b. brucei,,,ug/ml,,IC50,,,HAT in vitro,set5,F,SBRI 427,ORGANISM,,,SCYNEXIS,MAN_03-_12_07,SCYVTHAT1,
CCCOc1ccc(-c2nc(CNC3CCCCCC3)co2)cc1,CCCOc1ccc(-c2nc(CNC3CCCCCC3)co2)cc1,.,=,15.79,L929,,,ug/ml,,IC50,,,CYTO-SP,set5,F,fibroblast,ORGANISM,,hour,SCYNEXIS,CYTO22AUG07,SCYVTCYT2,24 Hours
CCCCCOc1ccc(-c2nc(CNC(C)CCCCC)co2)cc1,CCCCCOc1ccc(-c2nc(CNC(C)CCCCC)co2)cc1,.,=,49.68,Mouse,,,%,,% remaining,,,Metabolic Stability in Liver S9 Sub -celluar Fractions,set5,F,S9,ORGANISM,1.0,minute,SCYNEXIS,#013-08,SCYVTMET2,
CCCCCOc1ccc(-c2nc(CNC(C)CCCCC)co2)cc1,CCCCCOc1ccc(-c2nc(CNC(C)CCCCC)co2)cc1,.,=,13.0,Mouse,,,uL/min/mg,,CLint in vitro,,,Metabolic Stability in Liver Sub -celluar Fractions,set5,F,Microsomes,ORGANISM,1.0,minute,SCYNEXIS,#008-08,SCYVTMET1,
CCCCCOc1ccc(-c2nc(CNC(C)CCCCC)co2)cc1,CCCCCOc1ccc(-c2nc(CNC(C)CCCCC)co2)cc1,.,=,68.0,Mouse,,,Min,,t (1 / 2),,,Metabolic Stability in Liver Sub -celluar Fractions,set5,F,Microsomes,ORGANISM,1.0,minute,SCYNEXIS,#008-08,SCYVTMET1,
CCCCCOc1ccc(-c2nc(CNC(C)CCCCC)co2)cc1,CCCCCOc1ccc(-c2nc(CNC(C)CCCCC)co2)cc1,.,=,32.42,L929,,,ug/ml,,IC50,,,CYTO-SP,set5,F,fibroblast,ORGANISM,,hour,SCYNEXIS,CYTO22AUG07,SCYVTCYT2,24 Hours
CCCCCOc1ccc(-c2nc(CNC(C)CCCCC)co2)cc1,CCCCCOc1ccc(-c2nc(CNC(C)CCCCC)co2)cc1,.,=,0.33,T. b. brucei,,,ug/ml,,IC50,,,HAT in vitro,set5,F,SBRI 427,ORGANISM,,,SCYNEXIS,MAN_03-_12_07,SCYVTHAT1,
CCCCCOc1ccc(-c2nc(CNC(C)CCCCC)co2)cc1,CCCCCOc1ccc(-c2nc(CNC(C)CCCCC)co2)cc1,.,=,0.55531701174956,Rat,,,%,,% remaining,,,Metabolic Stability in Liver S9 Sub -celluar Fractions,set5,F,S9,ORGANISM,1.0,minute,SCYNEXIS,#013-08,SCYVTMET3,
CCCOc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,CCCOc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,.,=,30.0,Mouse,,,uL/min/mg,,CLint in vitro,,,Metabolic Stability in Liver Sub -celluar Fractions,set5,F,Microsomes,ORGANISM,1.0,minute,SCYNEXIS,#008-08,SCYVTMET1,
CCCOc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,CCCOc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,.,=,0.49,T. b. brucei,,,ug/ml,,IC50,,,HAT in vitro,set5,F,SBRI 427,ORGANISM,,,SCYNEXIS,MAN_03-_12_07,SCYVTHAT1,
CCCOc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,CCCOc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,.,=,28.0,Mouse,,,Min,,t (1 / 2),,,Metabolic Stability in Liver Sub -celluar Fractions,set5,F,Microsomes,ORGANISM,1.0,minute,SCYNEXIS,#008-08,SCYVTMET1,
CCCOc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,CCCOc1ccc(-c2nc(CN[C@@H]3C[C@@H]4C[C@H]([C@H]3C)C4(C)C)co2)cc1,.,=,15.72,L929,,,ug/ml,,IC50,,,CYTO-SP,set5,F,fibroblast,ORGANISM,,hour,SCYNEXIS,CYTO22AUG07,SCYVTCYT2,24 Hours
CCCOc1ccc(-c2nc(CNC[C@@H]3CC[C@H]4C[C@@H]3C4(C)C)co2)cc1,CCCOc1ccc(-c2nc(CNC[C@@H]3CC[C@H]4C[C@@H]3C4(C)C)co2)cc1,.,=,0.74,T. b. brucei,,,ug/ml,,IC50,,,HAT in vitro,set5,F,SBRI 427,ORGANISM,,,SCYNEXIS,MAN_03-_12_07,SCYVTHAT1,
CCCOc1ccc(-c2nc(CNC[C@@H]3CC[C@H]4C[C@@H]3C4(C)C)co2)cc1,CCCOc1ccc(-c2nc(CNC[C@@H]3CC[C@H]4C[C@@H]3C4(C)C)co2)cc1,.,=,16.04,L929,,,ug/ml,,IC50,,,CYTO-SP,set5,F,fibroblast,ORGANISM,,hour,SCYNEXIS,CYTO22AUG07,SCYVTCYT2,24 Hours
CCc1ccccc1N/C(=N\O)c1ccc(OC)cc1,CCc1ccccc1N/C(=N\O)c1ccc(OC)cc1,.,=,2.0,Mouse,,,Min,,t (1 / 2),,,Metabolic Stability in Liver Sub -celluar Fractions,set5,F,Microsomes,ORGANISM,1.0,minute,SCYNEXIS,#008-08,SCYVTMET1,
CCc1ccccc1N/C(=N\O)c1ccc(OC)cc1,CCc1ccccc1N/C(=N\O)c1ccc(OC)cc1,.,=,397.0,Mouse,,,uL/min/mg,,CLint in vitro,,,Metabolic Stability in Liver Sub -celluar Fractions,set5,F,Microsomes,ORGANISM,1.0,minute,SCYNEXIS,#008-08,SCYVTMET1,
CCc1ccccc1N/C(=N\O)c1ccccc1-c1ccccc1,CCc1ccccc1N/C(=N\O)c1ccccc1-c1ccccc1,.,=,16.29,L929,,,ug/ml,,IC50,,,CYTO-SP,set5,F,fibroblast,ORGANISM,,hour,SCYNEXIS,CYTO22AUG07,SCYVTCYT2,24 Hours
CCc1ccccc1N/C(=N\O)c1ccccc1-c1ccccc1,CCc1ccccc1N/C(=N\O)c1ccccc1-c1ccccc1,.,=,209.0,Mouse,,,uL/min/mg,,CLint in vitro,,,Metabolic Stability in Liver Sub -celluar Fractions,set5,F,Microsomes,ORGANISM,1.0,minute,SCYNEXIS,#008-08,SCYVTMET1,
CCc1ccccc1N/C(=N\O)c1ccccc1-c1ccccc1,CCc1ccccc1N/C(=N\O)c1ccccc1-c1ccccc1,.,=,4.0,Mouse,,,Min,,t (1 / 2),,,Metabolic Stability in Liver Sub -celluar Fractions,set5,F,Microsomes,ORGANISM,1.0,minute,SCYNEXIS,#008-08,SCYVTMET1,
CCCCc1ccc(-c2nc(C)co2)cc1,CCCCc1ccc(-c2nc(C)co2)cc1,.,=,42.09,L929,,,ug/ml,,IC50,,,CYTOTOXICITY,set5,F,fibroblast,ORGANISM,,hour,SCYNEXIS,CYTODR16MAY08,SCYVTCYT1,72 Hours
CCCCc1ccc(-c2nc(C(C)(C)C)co2)cc1,CCCCc1ccc(-c2nc(C(C)(C)C)co2)cc1,.,=,28.73,L929,,,ug/ml,,IC50,,,CYTOTOXICITY,set5,F,fibroblast,ORGANISM,,hour,SCYNEXIS,CYTODR16MAY08,SCYVTCYT1,72 Hours
CCCCc1ccc(-c2nc(C(F)(F)F)co2)cc1,CCCCc1ccc(-c2nc(C(F)(F)F)co2)cc1,.,=,43.77,L929,,,ug/ml,,IC50,,,CYTOTOXICITY,set5,F,fibroblast,ORGANISM,,hour,SCYNEXIS,CYTODR16MAY08,SCYVTCYT1,72 Hours
CCCCc1ccc(-c2nc(-c3ccccc3)co2)cc1,CCCCc1ccc(-c2nc(-c3ccccc3)co2)cc1,.,=,26.64,L929,,,ug/ml,,IC50,,,CYTOTOXICITY,set5,F,fibroblast,ORGANISM,,hour,SCYNEXIS,CYTODR16MAY08,SCYVTCYT1,72 Hours
CCCCc1ccc(-c2nc(CNCCCN3CCCC3)co2)cc1,CCCCc1ccc(-c2nc(CNCCCN3CCCC3)co2)cc1,.,=,6.03,L929,,,ug/ml,,IC50,,,CYTOTOXICITY,set5,F,fibroblast,ORGANISM,,hour,SCYNEXIS,CYTODR16MAY08,SCYVTCYT1,72 Hours
CCCCc1ccc(-c2nc(CNCCCN3CCCC3)co2)cc1,CCCCc1ccc(-c2nc(CNCCCN3CCCC3)co2)cc1,.,=,1.6,T. b. brucei,,,ug/ml,,IC50,,,HAT in vitro,set5,F,SBRI 427,ORGANISM,,,SCYNEXIS,MAN_03-_12_07,SCYVTHAT1,
CCCCc1ccc(-c2nc(CNCCCN3CCCC3)co2)cc1,CCCCc1ccc(-c2nc(CNCCCN3CCCC3)co2)cc1,.,=,0.89,T. b. brucei,,,ug/ml,,IC50,,,HAT in vitro,set5,F,SBRI 427,ORGANISM,,,SCYNEXIS,MAN_03-_12_07,SCYVTHAT1,
CCCCc1ccc(-c2nc(CNCCCN3CCCCC3)co2)cc1,CCCCc1ccc(-c2nc(CNCCCN3CCCCC3)co2)cc1,.,=,6.2,L929,,,ug/ml,,IC50,,,CYTOTOXICITY,set5,F,fibroblast,ORGANISM,,hour,SCYNEXIS,CYTODR16MAY08,SCYVTCYT1,72 Hours
CCCCc1ccc(-c2nc(CNCCCN3CCCCC3)co2)cc1,CCCCc1ccc(-c2nc(CNCCCN3CCCCC3)co2)cc1,.,=,2.01,T. b. brucei,,,ug/ml,,IC50,,,HAT in vitro,set5,F,SBRI 427,ORGANISM,,,SCYNEXIS,MAN_03-_12_07,SCYVTHAT1,
CCCCc1ccc(-c2nc(CNCCCN3CCCCC3)co2)cc1,CCCCc1ccc(-c2nc(CNCCCN3CCCCC3)co2)cc1,.,=,1.48,T. b. brucei,,,ug/ml,,IC50,,,HAT in vitro,set5,F,SBRI 427,ORGANISM,,,SCYNEXIS,MAN_03-_12_07,SCYVTHAT1,
CCCCc1ccc(-c2nc(CNCCC3CCCN3C)co2)cc1,CCCCc1ccc(-c2nc(CNCCC3CCCN3C)co2)cc1,.,=,57.37,Mouse,,,%,,% remaining,,,Metabolic Stability in Liver S9 Sub -celluar Fractions,set5,F,S9,ORGANISM,1.0,minute,SCYNEXIS,#013-08,SCYVTMET2,
CCCCc1ccc(-c2nc(CNCCC3CCCN3C)co2)cc1,CCCCc1ccc(-c2nc(CNCCC3CCCN3C)co2)cc1,.,=,3.27,Rat,,,%,,% remaining,,,Metabolic Stability in Liver S9 Sub -celluar Fractions,set5,F,S9,ORGANISM,1.0,minute,SCYNEXIS,#013-08,SCYVTMET3,
CCCCc1ccc(-c2nc(CNCCC3CCCN3C)co2)cc1,CCCCc1ccc(-c2nc(CNCCC3CCCN3C)co2)cc1,.,=,4.69,CHI,,,none,,logD,,,Lipophilicity (logD) analysis of New Chemical Entities,set5,F,pH 7.4,ORGANISM,,,SCYNEXIS,003ADT015,SCYVTLIP1,
CCCCc1ccc(-c2nc(CNCCC3CCCN3C)co2)cc1,CCCCc1ccc(-c2nc(CNCCC3CCCN3C)co2)cc1,.,=,100.0,PBS - pH 7.4,,,uM,,Kinetic,,,Estimation of Kinetic Solubility of Drug Candidate Compounds,set5,F,NEPH_RT,ORGANISM,,,SCYNEXIS,001SNK042,SCYVTSOL1,
CCCCc1ccc(-c2nc(CNCCC3CCCN3C)co2)cc1,CCCCc1ccc(-c2nc(CNCCC3CCCN3C)co2)cc1,.,=,0.19,T. b. brucei,,,ug/ml,,IC50,,,HAT in vitro,set5,F,SBRI 427,ORGANISM,,,SCYNEXIS,MAN_03-_12_07,SCYVTHAT1,
CCCCc1ccc(-c2nc(CNCCC3CCCN3C)co2)cc1,CCCCc1ccc(-c2nc(CNCCC3CCCN3C)co2)cc1,.,=,0.21,T. b. brucei,,,ug/ml,,IC50,,,HAT in vitro,set5,F,SBRI 427,ORGANISM,,,SCYNEXIS,MAN_03-_12_07,SCYVTHAT1,
CCCCc1ccc(-c2nc(CNCCC3CCCN3C)co2)cc1,CCCCc1ccc(-c2nc(CNCCC3CCCN3C)co2)cc1,.,=,23.0,Mouse,,,uL/min/mg,,CLint in vitro,,,Metabolic Stability in Liver Sub -celluar Fractions,set5,F,Microsomes,ORGANISM,1.0,minute,SCYNEXIS,#008-08,SCYVTMET1,
CCCCc1ccc(-c2nc(CNCCC3CCCN3C)co2)cc1,CCCCc1ccc(-c2nc(CNCCC3CCCN3C)co2)cc1,.,=,37.0,Mouse,,,Min,,t (1 / 2),,,Metabolic Stability in Liver Sub -celluar Fractions,set5,F,Microsomes,ORGANISM,1.0,minute,SCYNEXIS,#008-08,SCYVTMET1,
CCCCc1ccc(-c2nc(CNCCC3CCCN3C)co2)cc1,CCCCc1ccc(-c2nc(CNCCC3CCCN3C)co2)cc1,.,=,4.21,L929,,,ug/ml,,IC50,,,CYTOTOXICITY,set5,F,fibroblast,ORGANISM,,hour,SCYNEXIS,CYTODR16MAY08,SCYVTCYT1,72 Hours
CCCCc1ccc(-c2nc(CNCCC3CCCN3C)co2)cc1,CCCCc1ccc(-c2nc(CNCCC3CCCN3C)co2)cc1,.,=,10.0,T. b. brucei,,,day,,MSD,,,HAT in vivo,set5,F,EATRO 110 ip,ORGANISM,50.0,adm days,SCYNEXIS,,PACVVHAT1,
CCCCc1ccc(-c2nc(CNCCC3CCCN3C)co2)cc1,CCCCc1ccc(-c2nc(CNCCC3CCCN3C)co2)cc1,.,=,7.0,T.b. brucei,,,day,,MSD,,,HAT in vivo,set5,F,STIB 795 ip,ORGANISM,50.0,adm days,SCYNEXIS,STIVVHAT1,STIVVHAT1,
CCCCc1ccc(-c2nc(CNCc3c(OC)cccc3OC)co2)cc1,CCCCc1ccc(-c2nc(CNCc3c(OC)cccc3OC)co2)cc1,.,=,0.168711656441718,Rat,,,%,,% remaining,,,Metabolic Stability in Liver S9 Sub -celluar Fractions,set5,F,S9,ORGANISM,1.0,minute,SCYNEXIS,#013-08,SCYVTMET3,
CCCCc1ccc(-c2nc(CNCc3c(OC)cccc3OC)co2)cc1,CCCCc1ccc(-c2nc(CNCc3c(OC)cccc3OC)co2)cc1,.,=,18.68,Mouse,,,%,,% remaining,,,Metabolic Stability in Liver S9 Sub -celluar Fractions,set5,F,S9,ORGANISM,1.0,minute,SCYNEXIS,#013-08,SCYVTMET2,
